window_end_ts,p50_ingest_ms,p95_ingest_ms,p50_feature_ms,p95_feature_ms
2025-08-15T10:00:03+00:00,0.06,0.1,499.31,950.22
2025-08-15T10:00:03+00:00,0.07,0.34,503.79,948.97
2025-08-15T10:00:03+00:00,0.06,0.12,534.42,958.89
2025-08-15T10:00:03+00:00,0.06,0.12,508.96,953.98
2025-08-15T10:00:03+00:00,0.07,0.16,503.9,944.09
2025-08-15T10:00:03+00:00,0.07,0.41,491.08,952.41
2025-08-15T10:00:03+00:00,0.07,0.15,508.28,951.63
2025-08-15T10:00:03+00:00,0.06,0.11,507.8,947.65
2025-08-15T10:00:03+00:00,0.06,0.13,487.13,948.27
2025-08-15T10:00:03+00:00,0.07,0.26,500.32,953.23
2025-08-15T10:00:03+00:00,0.06,0.09,490.76,951.21
2025-08-15T10:00:03+00:00,0.06,0.12,510.77,955.75
2025-08-15T10:00:03+00:00,0.06,0.12,518.94,954.59
2025-08-15T10:00:03+00:00,0.08,0.4,493.45,946.32
2025-08-15T10:00:03+00:00,0.07,0.15,501.62,946.49
2025-08-15T10:00:03+00:00,0.06,0.12,514.48,947.55
2025-08-15T10:00:03+00:00,0.08,1.41,499.99,949.47
2025-08-15T10:00:03+00:00,0.13,1.42,491.89,955.67
2025-08-15T10:00:03+00:00,0.08,0.15,506.89,943.72
2025-08-15T10:00:03+00:00,0.06,0.12,503.46,953.98
2025-08-15T10:00:03+00:00,0.07,0.13,511.68,959.99
2025-08-15T10:00:03+00:00,0.13,3.19,500.26,950.04
2025-08-15T10:00:03+00:00,0.1,0.19,508.76,950.13
2025-08-15T10:00:03+00:00,0.07,0.14,504.08,950.44
2025-08-15T10:00:03+00:00,0.07,0.12,515.66,962.86
2025-08-15T10:00:03+00:00,0.08,0.4,498.6,939.99
2025-08-15T10:00:03+00:00,0.07,0.13,500.52,947.69
2025-08-15T10:00:03+00:00,0.07,0.13,492.74,948.72
2025-08-15T10:00:03+00:00,0.07,0.12,495.91,937.34
2025-08-15T10:00:03+00:00,0.08,0.2,498.39,953.69
2025-08-15T10:00:03+00:00,0.07,0.15,514.49,950.15
2025-08-15T10:00:03+00:00,0.08,0.14,513.51,952.97
2025-08-15T10:00:03+00:00,0.08,0.27,502.19,948.21
2025-08-15T10:00:03+00:00,0.07,0.12,519.71,955.55
2025-08-15T10:00:03+00:00,0.07,0.11,502.46,945.39
2025-08-15T10:00:03+00:00,0.07,0.46,508.66,949.63
2025-08-15T10:00:03+00:00,0.06,0.1,510.4,949.73
2025-08-15T10:00:03+00:00,0.06,0.13,509.03,955.27
2025-08-15T10:00:03+00:00,0.07,0.14,522.56,948.99
2025-08-15T10:00:03+00:00,0.08,0.39,492.11,954.05
2025-08-15T10:00:03+00:00,0.07,0.14,510.11,944.58
2025-08-15T10:00:03+00:00,0.07,0.11,515.25,955.83
2025-08-15T10:00:03+00:00,0.07,0.63,519.61,955.34
2025-08-15T10:00:03+00:00,0.06,0.12,504.66,951.46
2025-08-15T10:00:03+00:00,0.06,0.13,529.94,956.18
2025-08-15T10:00:03+00:00,0.08,0.5,509.37,957.11
2025-08-15T10:00:03+00:00,0.07,0.14,510.85,951.05
2025-08-15T10:00:03+00:00,0.07,0.13,499.28,941.83
2025-08-15T10:00:03+00:00,0.08,0.55,503.91,943.23
2025-08-15T10:00:03+00:00,0.06,0.12,507.11,964.87
2025-08-15T10:00:03+00:00,0.07,0.13,514.28,949.92
2025-08-15T10:00:03+00:00,0.08,0.41,511.65,952.81
2025-08-15T10:00:03+00:00,0.12,0.32,511.13,944.63
2025-08-15T10:00:03+00:00,0.06,0.15,500.64,957.7
2025-08-15T10:00:03+00:00,0.07,0.15,505.57,951.01
2025-08-15T10:00:03+00:00,0.09,0.76,489.46,953.7
2025-08-15T10:00:03+00:00,0.07,0.13,517.99,950.56
2025-08-15T10:00:03+00:00,0.06,0.11,504.49,955.47
2025-08-15T10:00:03+00:00,0.08,0.48,511.28,949.09
2025-08-15T10:00:03+00:00,0.07,0.13,498.93,951.36
2025-08-15T10:00:03+00:00,0.07,0.13,487.04,948.92
2025-08-15T10:00:03+00:00,0.06,0.11,507.91,956.1
2025-08-15T10:00:03+00:00,0.08,0.83,504.2,949.03
2025-08-15T10:00:03+00:00,0.11,0.2,514.78,952.45
2025-08-15T10:00:03+00:00,0.06,0.11,496.03,948.39
2025-08-15T10:00:03+00:00,0.07,0.32,510.4,955.84
2025-08-15T10:00:03+00:00,0.06,0.11,500.5,950.75
2025-08-15T10:00:03+00:00,0.06,0.1,509.19,942.87
2025-08-15T10:00:03+00:00,0.09,0.32,505.8,945.52
2025-08-15T10:00:03+00:00,0.07,0.13,505.2,952.1
2025-08-15T10:00:03+00:00,0.06,0.14,492.98,947.62
2025-08-15T10:00:03+00:00,0.07,0.46,508.31,948.1
2025-08-15T10:00:03+00:00,0.06,0.1,511.5,954.29
2025-08-15T10:00:03+00:00,0.1,0.31,507.41,962.93
2025-08-15T10:00:03+00:00,0.07,0.13,504.66,952.19
2025-08-15T10:00:03+00:00,0.06,0.1,535.75,941.64
2025-08-15T10:00:03+00:00,0.06,0.09,512.69,958.49
2025-08-15T10:00:03+00:00,0.08,1.27,477.5,963.38
2025-08-15T10:00:03+00:00,0.08,0.18,512.94,940.19
2025-08-15T10:00:03+00:00,0.06,0.14,519.07,969.05
